2019-08-08 19:09:17.5822 Info Loading Cardigann definition /app/Jackett/Definitions/scenereactor.yml 
2019-08-08 19:09:17.5822 Info Loading Cardigann definition /app/Jackett/Definitions/twilight.yml 
2019-08-08 19:09:17.5945 Info Loading Cardigann definition /app/Jackett/Definitions/extratorrent-ag.yml 
2019-08-08 19:09:17.6340 Info Loading Cardigann definition /app/Jackett/Definitions/estone.yml 
2019-08-08 19:09:17.6340 Info Loading Cardigann definition /app/Jackett/Definitions/torrentland.yml 
2019-08-08 19:09:17.6471 Info Loading Cardigann definition /app/Jackett/Definitions/hush.yml 
2019-08-08 19:09:17.6526 Info Loading Cardigann definition /app/Jackett/Definitions/tapochek.yml 
2019-08-08 19:09:17.6742 Info Loading Cardigann definition /app/Jackett/Definitions/soundpark.yml 
2019-08-08 19:09:17.6742 Info Loading Cardigann definition /app/Jackett/Definitions/acgrip.yml 
2019-08-08 19:09:17.6822 Info Loading Cardigann definition /app/Jackett/Definitions/desireleasers.yml 
2019-08-08 19:09:17.6822 Info Loading Cardigann definition /app/Jackett/Definitions/ebooks-shares.yml 
2019-08-08 19:09:17.6994 Info Loading Cardigann definition /app/Jackett/Definitions/blutopia.yml 
2019-08-08 19:09:17.7049 Info Loading Cardigann definition /app/Jackett/Definitions/mactorrents.yml 
2019-08-08 19:09:17.7049 Info Loading Cardigann definition /app/Jackett/Definitions/concen.yml 
2019-08-08 19:09:17.7118 Info Loading Cardigann definition /app/Jackett/Definitions/casstudiotv.yml 
2019-08-08 19:09:17.7269 Info Loading Cardigann definition /app/Jackett/Definitions/pt99.yml 
2019-08-08 19:09:17.7329 Info Loading Cardigann definition /app/Jackett/Definitions/channelx.yml 
2019-08-08 19:09:17.7329 Info Loading Cardigann definition /app/Jackett/Definitions/torrentdownloads.yml 
2019-08-08 19:09:17.7415 Info Loading Cardigann definition /app/Jackett/Definitions/leporno.yml 
2019-08-08 19:09:17.7415 Info Loading Cardigann definition /app/Jackett/Definitions/scenepalace.yml 
2019-08-08 19:09:17.7415 Info Loading Cardigann definition /app/Jackett/Definitions/thegeeks.yml 
2019-08-08 19:09:17.7589 Info Loading Cardigann definition /app/Jackett/Definitions/retroflix.yml 
2019-08-08 19:09:17.7642 Info Loading Cardigann definition /app/Jackett/Definitions/bitme.yml 
2019-08-08 19:09:17.7642 Info Loading Cardigann definition /app/Jackett/Definitions/btkitty.yml 
2019-08-08 19:09:17.7725 Info Loading Cardigann definition /app/Jackett/Definitions/zamundanet.yml 
2019-08-08 19:09:17.7725 Info Loading Cardigann definition /app/Jackett/Definitions/movcr.yml 
2019-08-08 19:09:17.7809 Info Loading Cardigann definition /app/Jackett/Definitions/asgaard.yml 
2019-08-08 19:09:17.7809 Info Loading Cardigann definition /app/Jackett/Definitions/pthome.yml 
